startDate,endDate,value,sourceName,device
2022-04-01 00:01:46 -0500,2022-04-01 06:59:57 -0500,HKCategoryValueSleepAnalysisInBed,Chandler’s iPhone,
2022-04-02 00:39:30 -0500,2022-04-02 06:45:20 -0500,HKCategoryValueSleepAnalysisInBed,Chandler’s iPhone,
2022-04-03 01:15:53 -0500,2022-04-03 08:48:17 -0500,HKCategoryValueSleepAnalysisInBed,Chandler’s iPhone,
2022-04-04 00:15:00 -0500,2022-04-04 07:06:51 -0500,HKCategoryValueSleepAnalysisInBed,Chandler’s iPhone,
2022-04-04 07:06:59 -0500,2022-04-04 07:26:52 -0500,HKCategoryValueSleepAnalysisInBed,Chandler’s iPhone,
2022-04-04 23:19:43 -0500,2022-04-05 06:54:39 -0500,HKCategoryValueSleepAnalysisInBed,Chandler’s iPhone,
2022-04-06 02:04:00 -0500,2022-04-06 06:45:16 -0500,HKCategoryValueSleepAnalysisInBed,Chandler’s iPhone,
2022-04-07 01:15:05 -0500,2022-04-07 06:45:09 -0500,HKCategoryValueSleepAnalysisInBed,Chandler’s iPhone,
2022-04-07 23:51:49 -0500,2022-04-08 06:59:31 -0500,HKCategoryValueSleepAnalysisInBed,Chandler’s iPhone,
2022-04-09 00:49:13 -0500,2022-04-09 08:30:25 -0500,HKCategoryValueSleepAnalysisInBed,Chandler’s iPhone,
2022-04-09 08:30:59 -0500,2022-04-09 08:34:55 -0500,HKCategoryValueSleepAnalysisInBed,Chandler’s iPhone,
2022-04-09 08:35:02 -0500,2022-04-09 08:39:29 -0500,HKCategoryValueSleepAnalysisInBed,Chandler’s iPhone,
2022-04-10 00:57:17 -0500,2022-04-10 06:50:42 -0500,HKCategoryValueSleepAnalysisInBed,Chandler’s iPhone,
2022-04-10 23:13:50 -0500,2022-04-11 06:55:15 -0500,HKCategoryValueSleepAnalysisInBed,Chandler’s iPhone,
2022-04-12 00:06:43 -0500,2022-04-12 06:45:28 -0500,HKCategoryValueSleepAnalysisInBed,Chandler’s iPhone,
2022-04-12 23:08:36 -0500,2022-04-13 06:45:14 -0500,HKCategoryValueSleepAnalysisInBed,Chandler’s iPhone,
2022-04-13 23:17:25 -0500,2022-04-14 06:45:10 -0500,HKCategoryValueSleepAnalysisInBed,Chandler’s iPhone,
2022-04-15 04:00:00 -0500,2022-04-15 09:42:55 -0500,HKCategoryValueSleepAnalysisInBed,Chandler’s iPhone,
2022-04-15 09:44:11 -0500,2022-04-15 09:44:12 -0500,HKCategoryValueSleepAnalysisInBed,Chandler’s iPhone,
2022-04-16 00:30:00 -0500,2022-04-16 08:50:46 -0500,HKCategoryValueSleepAnalysisInBed,Chandler’s iPhone,
2022-04-17 01:43:32 -0500,2022-04-17 01:44:17 -0500,HKCategoryValueSleepAnalysisInBed,Chandler’s iPhone,
2022-04-17 01:47:26 -0500,2022-04-17 01:47:39 -0500,HKCategoryValueSleepAnalysisInBed,Chandler’s iPhone,
2022-04-17 01:48:13 -0500,2022-04-17 01:50:14 -0500,HKCategoryValueSleepAnalysisInBed,Chandler’s iPhone,
2022-04-17 01:51:06 -0500,2022-04-17 01:52:18 -0500,HKCategoryValueSleepAnalysisInBed,Chandler’s iPhone,
2022-04-17 01:52:20 -0500,2022-04-17 02:06:53 -0500,HKCategoryValueSleepAnalysisInBed,Chandler’s iPhone,
2022-04-17 02:06:58 -0500,2022-04-17 02:28:31 -0500,HKCategoryValueSleepAnalysisInBed,Chandler’s iPhone,
2022-04-17 02:53:00 -0500,2022-04-17 02:54:25 -0500,HKCategoryValueSleepAnalysisInBed,Chandler’s iPhone,
2022-04-17 02:58:42 -0500,2022-04-17 02:58:44 -0500,HKCategoryValueSleepAnalysisInBed,Chandler’s iPhone,
2022-04-17 03:01:11 -0500,2022-04-17 03:01:16 -0500,HKCategoryValueSleepAnalysisInBed,Chandler’s iPhone,
2022-04-17 03:27:49 -0500,2022-04-17 03:27:50 -0500,HKCategoryValueSleepAnalysisInBed,Chandler’s iPhone,
2022-04-17 03:41:53 -0500,2022-04-17 08:39:12 -0500,HKCategoryValueSleepAnalysisInBed,Chandler’s iPhone,
2022-04-18 00:30:43 -0500,2022-04-18 06:45:10 -0500,HKCategoryValueSleepAnalysisInBed,Chandler’s iPhone,
2022-04-18 23:17:05 -0500,2022-04-19 06:45:33 -0500,HKCategoryValueSleepAnalysisInBed,Chandler’s iPhone,
2022-04-19 23:34:32 -0500,2022-04-20 06:40:06 -0500,HKCategoryValueSleepAnalysisInBed,Chandler’s iPhone,
2022-04-20 23:27:04 -0500,2022-04-20 23:27:07 -0500,HKCategoryValueSleepAnalysisInBed,Chandler’s iPhone,
2022-04-21 06:18:37 -0500,2022-04-21 06:18:38 -0500,HKCategoryValueSleepAnalysisInBed,Chandler’s iPhone,
2022-04-21 06:18:43 -0500,2022-04-21 06:41:04 -0500,HKCategoryValueSleepAnalysisInBed,Chandler’s iPhone,
2022-04-21 23:24:39 -0500,2022-04-22 06:30:14 -0500,HKCategoryValueSleepAnalysisInBed,Chandler’s iPhone,
2022-04-23 00:47:35 -0500,2022-04-23 08:04:51 -0500,HKCategoryValueSleepAnalysisInBed,Chandler’s iPhone,
2022-04-24 00:41:03 -0500,2022-04-24 08:30:22 -0500,HKCategoryValueSleepAnalysisInBed,Chandler’s iPhone,
